id;nom;groupe;amendements_adoptes;hemicycle_interventions;hemicycle_interventions_courtes;semaines_presence
277;Rudy Salles;UDI;1;3;0;1
278;Arnaud Robinet;LES-REP;3;0;0;1
279;Dino Cinieri;LES-REP;4;0;0;1
281;William Dumas;SRC;24;3;0;2
282;Yves Censi;LES-REP;3;0;1;1
285;Geneviève Gaillard;SRC;0;0;0;1
286;Serge Grouard;LES-REP;3;0;0;1
290;Marietta Karamanli;SRC;0;0;0;1
291;Philippe Cochet;LES-REP;3;0;2;2
292;François Vannson;LES-REP;3;0;0;1
295;Michel Vauzelle;SRC;0;1;0;3
296;Christophe Caresche;SRC;0;0;0;2
297;Régis Juanico;SRC;0;0;0;4
298;Yves Nicolin;LES-REP;3;0;3;1
300;Odile Saugues;SRC;0;0;1;2
301;Franck Gilard;LES-REP;3;0;1;1
302;Dominique Tian;LES-REP;3;0;0;1
303;Jean-Claude Fruteau;SRC;0;0;0;2
304;Michel Heinrich;LES-REP;3;0;0;2
305;Philippe Folliot;UDI;1;7;1;2
307;Sandrine Mazetier;SRC;13;23;134;1
309;Jean-Paul Dupré;SRC;2;0;0;2
310;Jean-Marc Ayrault;SRC;0;0;0;2
311;Martine Lignières-Cassou;SRC;0;0;0;1
312;François Lamy;SRC;0;0;0;1
313;Gabrielle Louis-Carabin;SRC;8;2;0;2
314;Christian Jacob;LES-REP;3;13;26;2
316;Jean Grellier;SRC;0;0;0;1
318;David Habib;SRC;0;68;400;2
319;Michel Vergnier;SRC;0;0;0;3
320;Jean-Louis Gagnaire;SRC;0;0;0;2
321;Patrick Bloche;SRC;116;197;34;2
322;Michel Terrot;LES-REP;3;0;0;3
324;Xavier Breton;LES-REP;4;7;3;2
326;Daniel Boisserie;SRC;2;0;0;2
327;Michel Issindou;SRC;8;0;0;2
328;Franck Riester;LES-REP;4;16;25;2
329;Christophe Bouillon;SRC;0;1;0;2
332;Marianne Dubois;LES-REP;3;1;0;1
333;Annick Le Loch;SRC;2;0;0;1
334;Étienne Blanc;LES-REP;3;0;0;1
335;Nathalie Kosciusko-Morizet;LES-REP;4;1;0;2
337;Gérard Sebaoun;SRC;8;1;1;3
338;Richard Ferrand;SRC;13;13;7;2
340;Véronique Massonneau;ECOLO;10;0;0;1
341;Barbara Romagnan;SRC;0;0;0;1
342;Dominique Nachury;LES-REP;4;8;2;1
343;Jacques Cresta;SRC;28;1;0;1
344;Yves Blein;SRC;0;0;0;1
345;Cécile Untermaier;SRC;3;0;0;1
348;Anne-Lise Dufour-Tonini;SRC;24;0;0;1
349;Cécile Duflot;ECOLO;10;0;0;1
353;Françoise Dumas;SRC;11;0;0;2
355;Julie Sommaruga;SRC;24;1;1;1
356;Michel Lesage;SRC;4;0;0;3
357;Laurent Kalinowski;SRC;0;0;0;2
358;Jean-Sébastien Vialatte;LES-REP;3;0;0;2
360;Thierry Robert;RRDP;1;1;0;1
363;Véronique Louwagie;LES-REP;4;0;0;3
364;Guy-Michel Chauveau;SRC;0;0;2;3
366;Marie-Hélène Fabre;SRC;0;0;0;1
